Day,harry potter: (Worldwide)
2022-07-01,64
2022-07-02,64
2022-07-03,61
2022-07-04,64
2022-07-05,64
2022-07-06,67
2022-07-07,64
2022-07-08,59
2022-07-09,66
2022-07-10,71
2022-07-11,63
2022-07-12,62
2022-07-13,63
2022-07-14,58
2022-07-15,66
2022-07-16,61
2022-07-17,69
2022-07-18,66
2022-07-19,61
2022-07-20,63
2022-07-21,67
2022-07-22,59
2022-07-23,72
2022-07-24,68
2022-07-25,73
2022-07-26,67
2022-07-27,67
2022-07-28,68
2022-07-29,64
2022-07-30,75
2022-07-31,73
2022-08-01,74
2022-08-02,65
2022-08-03,67
2022-08-04,69
2022-08-05,70
2022-08-06,72
2022-08-07,71
2022-08-08,69
2022-08-09,69
2022-08-10,66
2022-08-11,66
2022-08-12,66
2022-08-13,67
2022-08-14,73
2022-08-15,70
2022-08-16,67
2022-08-17,66
2022-08-18,65
2022-08-19,68
2022-08-20,70
2022-08-21,74
2022-08-22,68
2022-08-23,66
2022-08-24,63
2022-08-25,67
2022-08-26,72
2022-08-27,72
2022-08-28,73
2022-08-29,66
2022-08-30,69
2022-08-31,72
2022-09-01,74
2022-09-02,75
2022-09-03,79
2022-09-04,76
2022-09-05,74
2022-09-06,67
2022-09-07,65
2022-09-08,62
2022-09-09,66
2022-09-10,69
2022-09-11,71
2022-09-12,61
2022-09-13,65
2022-09-14,60
2022-09-15,60
2022-09-16,60
2022-09-17,71
2022-09-18,72
2022-09-19,62
2022-09-20,65
2022-09-21,60
2022-09-22,59
2022-09-23,60
2022-09-24,72
2022-09-25,74
2022-09-26,63
2022-09-27,58
2022-09-28,59
2022-09-29,60
2022-09-30,63
2022-10-01,68
2022-10-02,75
2022-10-03,66
2022-10-04,62
2022-10-05,57
2022-10-06,59
2022-10-07,62
2022-10-08,66
2022-10-09,70
2022-10-10,61
2022-10-11,60
2022-10-12,61
2022-10-13,57
2022-10-14,83
2022-10-15,100
2022-10-16,84
2022-10-17,75
2022-10-18,68
2022-10-19,67
2022-10-20,65
2022-10-21,71
2022-10-22,76
2022-10-23,79
2022-10-24,68
2022-10-25,71
2022-10-26,76
2022-10-27,67
2022-10-28,74
2022-10-29,79
2022-10-30,83
2022-10-31,81
2022-11-01,81
2022-11-02,75
2022-11-03,69
2022-11-04,75
2022-11-05,81
2022-11-06,83
2022-11-07,69
2022-11-08,67
2022-11-09,61
2022-11-10,65
2022-11-11,78
2022-11-12,82
2022-11-13,82
2022-11-14,71
2022-11-15,73
2022-11-16,68
2022-11-17,67
2022-11-18,70
2022-11-19,79
2022-11-20,79
2022-11-21,67
2022-11-22,67
2022-11-23,67
2022-11-24,71
2022-11-25,66
2022-11-26,70
2022-11-27,79
2022-11-28,62
2022-11-29,64
2022-11-30,59
2022-12-01,60
2022-12-02,63
2022-12-03,73
2022-12-04,71
2022-12-05,62
2022-12-06,60
2022-12-07,62
2022-12-08,62
2022-12-09,61
2022-12-10,69
2022-12-11,75
2022-12-12,65
2022-12-13,61
2022-12-14,60
2022-12-15,64
2022-12-16,63
2022-12-17,73
2022-12-18,68
2022-12-19,64
2022-12-20,66
2022-12-21,66
2022-12-22,71
2022-12-23,69
2022-12-24,73
2022-12-25,80
2022-12-26,87
2022-12-27,82
2022-12-28,85
2022-12-29,81
2022-12-30,74
2022-12-31,72
