Day,harry potter: (Worldwide)
2019-07-01,95
2019-07-02,93
2019-07-03,87
2019-07-04,89
2019-07-05,89
2019-07-06,90
2019-07-07,97
2019-07-08,87
2019-07-09,86
2019-07-10,89
2019-07-11,86
2019-07-12,86
2019-07-13,85
2019-07-14,87
2019-07-15,88
2019-07-16,86
2019-07-17,83
2019-07-18,78
2019-07-19,82
2019-07-20,81
2019-07-21,82
2019-07-22,87
2019-07-23,84
2019-07-24,82
2019-07-25,88
2019-07-26,86
2019-07-27,79
2019-07-28,86
2019-07-29,84
2019-07-30,85
2019-07-31,87
2019-08-01,83
2019-08-02,70
2019-08-03,85
2019-08-04,82
2019-08-05,90
2019-08-06,83
2019-08-07,85
2019-08-08,86
2019-08-09,85
2019-08-10,86
2019-08-11,87
2019-08-12,94
2019-08-13,86
2019-08-14,87
2019-08-15,84
2019-08-16,89
2019-08-17,89
2019-08-18,91
2019-08-19,83
2019-08-20,87
2019-08-21,86
2019-08-22,86
2019-08-23,83
2019-08-24,84
2019-08-25,90
2019-08-26,90
2019-08-27,85
2019-08-28,81
2019-08-29,86
2019-08-30,82
2019-08-31,89
2019-09-01,92
2019-09-02,88
2019-09-03,85
2019-09-04,81
2019-09-05,83
2019-09-06,84
2019-09-07,93
2019-09-08,97
2019-09-09,86
2019-09-10,77
2019-09-11,73
2019-09-12,79
2019-09-13,82
2019-09-14,88
2019-09-15,91
2019-09-16,74
2019-09-17,72
2019-09-18,75
2019-09-19,75
2019-09-20,78
2019-09-21,87
2019-09-22,89
2019-09-23,77
2019-09-24,75
2019-09-25,82
2019-09-26,77
2019-09-27,80
2019-09-28,90
2019-09-29,93
2019-09-30,81
2019-10-01,78
2019-10-02,81
2019-10-03,84
2019-10-04,85
2019-10-05,91
2019-10-06,98
2019-10-07,83
2019-10-08,86
2019-10-09,86
2019-10-10,85
2019-10-11,87
2019-10-12,88
2019-10-13,94
2019-10-14,87
2019-10-15,81
2019-10-16,82
2019-10-17,79
2019-10-18,84
2019-10-19,92
2019-10-20,94
2019-10-21,88
2019-10-22,86
2019-10-23,79
2019-10-24,81
2019-10-25,82
2019-10-26,90
2019-10-27,87
2019-10-28,87
2019-10-29,88
2019-10-30,83
2019-10-31,88
2019-11-01,92
2019-11-02,99
2019-11-03,98
2019-11-04,88
2019-11-05,87
2019-11-06,96
2019-11-07,88
2019-11-08,88
2019-11-09,98
2019-11-10,94
2019-11-11,91
2019-11-12,82
2019-11-13,78
2019-11-14,78
2019-11-15,78
2019-11-16,91
2019-11-17,92
2019-11-18,79
2019-11-19,83
2019-11-20,76
2019-11-21,82
2019-11-22,84
2019-11-23,90
2019-11-24,93
2019-11-25,78
2019-11-26,75
2019-11-27,78
2019-11-28,77
2019-11-29,80
2019-11-30,83
2019-12-01,92
2019-12-02,78
2019-12-03,79
2019-12-04,77
2019-12-05,77
2019-12-06,80
2019-12-07,89
2019-12-08,91
2019-12-09,92
2019-12-10,79
2019-12-11,81
2019-12-12,79
2019-12-13,84
2019-12-14,88
2019-12-15,95
2019-12-16,86
2019-12-17,82
2019-12-18,78
2019-12-19,82
2019-12-20,83
2019-12-21,91
2019-12-22,89
2019-12-23,92
2019-12-24,88
2019-12-25,91
2019-12-26,97
2019-12-27,100
2019-12-28,96
2019-12-29,96
2019-12-30,96
2019-12-31,89
