date,wizardingworld
2016/12/20,49
2016/12/21,45
2016/12/22,68
2016/12/23,45
2016/12/24,64
2016/12/25,56
2016/12/26,73
2016/12/27,87
2016/12/28,67
2016/12/29,68
2016/12/30,88
2016/12/31,72
2017/1/1,95
2017/1/2,94
2017/1/3,95
2017/1/4,100
2017/1/5,74
2017/1/6,74
2017/1/7,98
2017/1/8,81
2017/1/9,60
2017/1/10,56
2017/1/11,50
2017/1/12,51
2017/1/13,69
2017/1/14,78
2017/1/15,88
2017/1/16,59
2017/1/17,67
2017/1/18,59
2017/1/19,69
2017/1/20,59
2017/1/21,64
2017/1/22,91
2017/1/23,73
2017/1/24,66
2017/1/25,66
2017/1/26,64
2017/1/27,74
2017/1/28,84
2017/1/29,93
2017/1/30,58
2017/1/31,51
2017/2/1,49
2017/2/2,51
2017/2/3,41
2017/2/4,71
2017/2/5,82
2017/2/6,53
2017/2/7,42
2017/2/8,60
2017/2/9,53
2017/2/10,58
2017/2/11,75
2017/2/12,65
2017/2/13,33
2017/2/14,57
2017/2/15,32
2017/2/16,54
2017/2/17,54
2017/2/18,56
2017/2/19,68
2017/2/20,50
2017/2/21,48
2017/2/22,59
2017/2/23,64
2017/2/24,64
2017/2/25,44
2017/2/26,69
2017/2/27,53
2017/2/28,32
2017/3/1,47
2017/3/2,41
2017/3/3,48
2017/3/4,46
2017/3/5,83
2017/3/6,61
2017/3/7,48
2017/3/8,37
2017/3/9,19
2017/3/10,49
2017/3/11,60
2017/3/12,52
2017/3/13,78
2017/3/14,52
2017/3/15,72
2017/3/16,64
2017/3/17,41
2017/3/18,56
2017/3/19,79
2017/3/20,53
2017/3/21,79
2017/3/22,45
2017/3/23,34
2017/3/24,56
2017/3/25,77
2017/3/26,62
2017/3/27,42
2017/3/28,50
2017/3/29,55
2017/3/30,54
2017/3/31,47
2017/4/1,60
2017/4/2,62
2017/4/3,52
2017/4/4,49
2017/4/5,59
2017/4/6,38
2017/4/7,41
2017/4/8,64
2017/4/9,57
2017/4/10,60
2017/4/11,40
2017/4/12,59
2017/4/13,60
2017/4/14,74
2017/4/15,73
2017/4/16,71
2017/4/17,24
2017/4/18,46
2017/4/19,23
2017/4/20,56
2017/4/21,34
2017/4/22,41
2017/4/23,49
2017/4/24,56
2017/4/25,45
2017/4/26,40
2017/4/27,53
2017/4/28,45
2017/4/29,40
2017/4/30,60
2017/5/1,61
2017/5/2,46
2017/5/3,49
2017/5/4,52
2017/5/5,55
2017/5/6,33
2017/5/7,49
2017/5/8,54
2017/5/9,67
2017/5/10,78
2017/5/11,39
2017/5/12,53
2017/5/13,54
2017/5/14,48
2017/5/15,66
2017/5/16,53
2017/5/17,46
2017/5/18,47
2017/5/19,37
2017/5/20,54
2017/5/21,76
2017/5/22,58
2017/5/23,40
2017/5/24,24
2017/5/25,62
2017/5/26,58
2017/5/27,57
2017/5/28,65
2017/5/29,66
2017/5/30,58
2017/5/31,61
2017/6/1,39
2017/6/2,56
2017/6/3,45
2017/6/4,58
2017/6/5,41
2017/6/6,56
2017/6/7,50
2017/6/8,50
2017/6/9,66
2017/6/10,49
2017/6/11,34
2017/6/12,47
2017/6/13,46
2017/6/14,57
2017/6/15,49
2017/6/16,45
2017/6/17,67
2017/6/18,54
2017/6/19,54
2017/6/20,51
2017/6/21,40
2017/6/22,67
2017/6/23,51
2017/6/24,71
2017/6/25,64
2017/6/26,91
2017/6/27,67
2017/6/28,60
2017/6/29,59
2017/6/30,43
2017/7/1,88
2017/7/2,79
2017/7/3,76
2017/7/4,49
2017/7/5,83
2017/7/6,41
2017/7/7,75
2017/7/8,78
2017/7/9,70
2017/7/10,59
2017/7/11,55
2017/7/12,44
2017/7/13,72
2017/7/14,92
