date,pottermore
2016-12-20,7
2016-12-21,7
2016-12-22,8
2016-12-23,9
2016-12-24,10
2016-12-25,13
2016-12-26,10
2016-12-27,8
2016-12-28,9
2016-12-29,9
2016-12-30,9
2016-12-31,10
2017-01-01,44
2017-01-02,45
2017-01-03,58
2017-01-04,100
2017-01-05,78
2017-01-06,55
2017-01-07,51
2017-01-08,51
2017-01-09,32
2017-01-10,31
2017-01-11,32
2017-01-12,29
2017-01-13,29
2017-01-14,35
2017-01-15,35
2017-01-16,27
2017-01-17,24
2017-01-18,25
2017-01-19,24
2017-01-20,24
2017-01-21,33
2017-01-22,36
2017-01-23,24
2017-01-24,24
2017-01-25,22
2017-01-26,23
2017-01-27,28
2017-01-28,33
2017-01-29,31
2017-01-30,23
2017-01-31,23
2017-02-01,21
2017-02-02,24
2017-02-03,24
2017-02-04,32
2017-02-05,30
2017-02-06,21
2017-02-07,19
2017-02-08,21
2017-02-09,21
2017-02-10,20
2017-02-11,23
2017-02-12,24
2017-02-13,18
2017-02-14,20
2017-02-15,19
2017-02-16,19
2017-02-17,20
2017-02-18,25
2017-02-19,23
2017-02-20,20
2017-02-21,18
2017-02-22,19
2017-02-23,17
2017-02-24,20
2017-02-25,23
2017-02-26,25
2017-02-27,20
2017-02-28,17
2017-03-01,18
2017-03-02,19
2017-03-03,19
2017-03-04,24
2017-03-05,23
2017-03-06,19
2017-03-07,19
2017-03-08,18
2017-03-09,18
2017-03-10,21
2017-03-11,24
2017-03-12,24
2017-03-13,19
2017-03-14,20
2017-03-15,19
2017-03-16,17
2017-03-17,19
2017-03-18,24
2017-03-19,25
2017-03-20,17
2017-03-21,18
2017-03-22,21
2017-03-23,19
2017-03-24,21
2017-03-25,21
2017-03-26,22
2017-03-27,17
2017-03-28,19
2017-03-29,19
2017-03-30,18
2017-03-31,19
2017-04-01,24
2017-04-02,24
2017-04-03,20
2017-04-04,17
2017-04-05,31
2017-04-06,24
2017-04-07,23
2017-04-08,20
2017-04-09,23
2017-04-10,22
2017-04-11,19
2017-04-12,22
2017-04-13,23
2017-04-14,23
2017-04-15,24
2017-04-16,24
2017-04-17,20
2017-04-18,17
2017-04-19,19
2017-04-20,18
2017-04-21,20
2017-04-22,24
2017-04-23,23
2017-04-24,20
2017-04-25,19
2017-04-26,18
2017-04-27,19
2017-04-28,21
2017-04-29,26
2017-04-30,30
2017-05-01,24
2017-05-02,20
2017-05-03,20
2017-05-04,20
2017-05-05,21
2017-05-06,22
2017-05-07,21
2017-05-08,19
2017-05-09,17
2017-05-10,17
2017-05-11,19
2017-05-12,20
2017-05-13,20
2017-05-14,21
2017-05-15,16
2017-05-16,17
2017-05-17,15
2017-05-18,16
2017-05-19,18
2017-05-20,20
2017-05-21,20
2017-05-22,15
2017-05-23,16
2017-05-24,17
2017-05-25,16
2017-05-26,17
2017-05-27,20
2017-05-28,22
2017-05-29,20
2017-05-30,19
2017-05-31,20
2017-06-01,18
2017-06-02,19
2017-06-03,21
2017-06-04,22
2017-06-05,18
2017-06-06,20
2017-06-07,23
2017-06-08,22
2017-06-09,20
2017-06-10,22
2017-06-11,26
2017-06-12,21
2017-06-13,19
2017-06-14,19
2017-06-15,23
2017-06-16,26
2017-06-17,25
2017-06-18,25
2017-06-19,21
2017-06-20,20
2017-06-21,21
2017-06-22,22
2017-06-23,25
2017-06-24,25
2017-06-25,28
2017-06-26,61
2017-06-27,60
2017-06-28,35
2017-06-29,31
2017-06-30,28
2017-07-01,62
2017-07-02,65
2017-07-03,51
2017-07-04,52
2017-07-05,47
2017-07-06,44
2017-07-07,47
2017-07-08,50
2017-07-09,52
2017-07-10,44
2017-07-11,42
2017-07-12,44
2017-07-13,41
2017-07-14,42
2017-07-15,44
2017-07-16,47
2017-07-17,39
2017-07-18,40
2017-07-19,43
2017-07-20,44
2017-07-21,48
2017-07-22,49
2017-07-23,49
2017-07-24,46
2017-07-25,44
2017-07-26,39
2017-07-27,42
2017-07-28,47
2017-07-29,52
2017-07-30,58
2017-07-31,50
2017-08-01,48
2017-08-02,46
2017-08-03,41
2017-08-04,44
2017-08-05,47
2017-08-06,51
2017-08-07,43
2017-08-08,44
2017-08-09,40
2017-08-10,37
2017-08-11,39
2017-08-12,46
2017-08-13,54
2017-08-14,42
2017-08-15,42
2017-08-16,41
2017-08-17,35
2017-08-18,39
2017-08-19,50
2017-08-20,44
2017-08-21,38
2017-08-22,36
2017-08-23,41
2017-08-24,39
2017-08-25,44
2017-08-26,49
2017-08-27,46
2017-08-28,37
2017-08-29,38
2017-08-30,36
2017-08-31,38
2017-09-01,87
2017-09-02,97
2017-09-03,68
2017-09-04,57
2017-09-05,47
2017-09-06,40
2017-09-07,40
2017-09-08,40
2017-09-09,46
2017-09-10,45
2017-09-11,35
2017-09-12,36
2017-09-13,35
2017-09-14,36
2017-09-15,36
2017-09-16,48
2017-09-17,45
