,date,searches
109,2017-10-18,51
110,2017-10-19,53
111,2017-10-20,53
112,2017-10-21,57
113,2017-10-22,67
114,2017-10-23,55
115,2017-10-24,53
116,2017-10-25,53
117,2017-10-26,51
118,2017-10-27,51
119,2017-10-28,58
120,2017-10-29,64
121,2017-10-30,54
122,2017-10-31,57
123,2017-11-01,53
124,2017-11-02,53
125,2017-11-03,49
126,2017-11-04,57
127,2017-11-05,62
128,2017-11-06,48
129,2017-11-07,48
130,2017-11-08,49
131,2017-11-09,55
132,2017-11-10,58
133,2017-11-11,72
134,2017-11-12,72
135,2017-11-13,70
136,2017-11-14,70
137,2017-11-15,76
138,2017-11-16,70
139,2017-11-17,100
140,2017-11-18,85
141,2017-11-19,80
142,2017-11-20,70
143,2017-11-21,68
144,2017-11-22,71
145,2017-11-23,79
146,2017-11-24,79
147,2017-11-25,82
148,2017-11-26,85
149,2017-11-27,88
150,2017-11-28,78
151,2017-11-29,74
152,2017-11-30,82
153,2017-12-01,73
154,2017-12-02,74
155,2017-12-03,78
156,2017-12-04,70
157,2017-12-05,62
158,2017-12-06,66
159,2017-12-07,62
160,2017-12-08,64
161,2017-12-09,70
162,2017-12-10,71
163,2017-12-11,65
164,2017-12-12,65
165,2017-12-13,68
166,2017-12-14,69
167,2017-12-15,65
168,2017-12-16,75
169,2017-12-17,73
170,2017-12-18,71
171,2017-12-19,70
172,2017-12-20,67
173,2017-12-21,71
174,2017-12-22,70
175,2017-12-23,66
176,2017-12-24,71
177,2017-12-25,75
178,2017-12-26,76
179,2017-12-27,78
180,2017-12-28,78
181,2017-12-29,73
182,2017-12-30,81
183,2017-12-31,74
0,2018-01-01,94
1,2018-01-02,96
2,2018-01-03,93
3,2018-01-04,96
4,2018-01-05,100
5,2018-01-06,98
6,2018-01-07,98
7,2018-01-08,94
8,2018-01-09,85
9,2018-01-10,87
10,2018-01-11,84
11,2018-01-12,86
12,2018-01-13,97
13,2018-01-14,94
14,2018-01-15,91
15,2018-01-16,93
16,2018-01-17,93
17,2018-01-18,91
18,2018-01-19,95
19,2018-01-20,97
20,2018-01-21,100
21,2018-01-22,85
22,2018-01-23,81
23,2018-01-24,83
24,2018-01-25,77
25,2018-01-26,85
26,2018-01-27,79
27,2018-01-28,84
28,2018-01-29,76
29,2018-01-30,79
30,2018-01-31,75
31,2018-02-01,77
32,2018-02-02,77
33,2018-02-03,82
34,2018-02-04,80
35,2018-02-05,72
36,2018-02-06,70
37,2018-02-07,65
38,2018-02-08,69
39,2018-02-09,73
40,2018-02-10,76
41,2018-02-11,76
42,2018-02-12,71
43,2018-02-13,64
44,2018-02-14,60
45,2018-02-15,58
46,2018-02-16,68
47,2018-02-17,76
48,2018-02-18,77
49,2018-02-19,69
50,2018-02-20,66
51,2018-02-21,65
52,2018-02-22,69
53,2018-02-23,70
54,2018-02-24,74
55,2018-02-25,70
56,2018-02-26,63
57,2018-02-27,57
58,2018-02-28,64
59,2018-03-01,68
60,2018-03-02,63
61,2018-03-03,73
62,2018-03-04,70
63,2018-03-05,59
64,2018-03-06,63
65,2018-03-07,56
66,2018-03-08,55
67,2018-03-09,57
68,2018-03-10,65
69,2018-03-11,56
70,2018-03-12,55
71,2018-03-13,64
72,2018-03-14,77
73,2018-03-15,67
74,2018-03-16,70
75,2018-03-17,73
76,2018-03-18,77
77,2018-03-19,64
78,2018-03-20,63
79,2018-03-21,65
80,2018-03-22,63
81,2018-03-23,67
82,2018-03-24,70
83,2018-03-25,64
84,2018-03-26,64
85,2018-03-27,65
86,2018-03-28,58
87,2018-03-29,63
88,2018-03-30,66
89,2018-03-31,66
90,2018-04-01,67
91,2018-04-02,67
92,2018-04-03,60
93,2018-04-04,56
94,2018-04-05,55
95,2018-04-06,56
96,2018-04-07,59
97,2018-04-08,63
98,2018-04-09,54
99,2018-04-10,56
100,2018-04-11,54
101,2018-04-12,51
102,2018-04-13,57
103,2018-04-14,61
104,2018-04-15,70
105,2018-04-16,57
106,2018-04-17,56
107,2018-04-18,54
108,2018-04-19,53
109,2018-04-20,54
110,2018-04-21,60
111,2018-04-22,62
112,2018-04-23,59
113,2018-04-24,56
114,2018-04-25,74
115,2018-04-26,77
116,2018-04-27,79
117,2018-04-28,82
118,2018-04-29,86
119,2018-04-30,85
120,2018-05-01,81
121,2018-05-02,79
122,2018-05-03,78
123,2018-05-04,69
124,2018-05-05,69
125,2018-05-06,71
126,2018-05-07,60
127,2018-05-08,63
128,2018-05-09,62
129,2018-05-10,62
130,2018-05-11,59
131,2018-05-12,67
132,2018-05-13,69
133,2018-05-14,60
134,2018-05-15,57
135,2018-05-16,58
136,2018-05-17,56
137,2018-05-18,56
138,2018-05-19,61
139,2018-05-20,65
140,2018-05-21,61
141,2018-05-22,59
142,2018-05-23,57
143,2018-05-24,51
144,2018-05-25,56
145,2018-05-26,57
146,2018-05-27,67
147,2018-05-28,60
148,2018-05-29,58
149,2018-05-30,59
150,2018-05-31,65
151,2018-06-01,63
152,2018-06-02,68
153,2018-06-03,72
154,2018-06-04,61
155,2018-06-05,62
156,2018-06-06,61
157,2018-06-07,66
158,2018-06-08,64
159,2018-06-09,62
160,2018-06-10,70
161,2018-06-11,56
162,2018-06-12,48
163,2018-06-13,51
164,2018-06-14,52
165,2018-06-15,57
166,2018-06-16,60
167,2018-06-17,66
168,2018-06-18,59
169,2018-06-19,59
170,2018-06-20,55
171,2018-06-21,53
172,2018-06-22,58
173,2018-06-23,57
174,2018-06-24,65
175,2018-06-25,58
176,2018-06-26,59
177,2018-06-27,58
178,2018-06-28,56
179,2018-06-29,56
180,2018-06-30,62
0,2018-07-01,51
1,2018-07-02,47
2,2018-07-03,49
3,2018-07-04,49
4,2018-07-05,46
5,2018-07-06,47
6,2018-07-07,47
7,2018-07-08,43
8,2018-07-09,49
9,2018-07-10,44
10,2018-07-11,56
11,2018-07-12,53
12,2018-07-13,54
13,2018-07-14,54
14,2018-07-15,62
15,2018-07-16,60
16,2018-07-17,63
17,2018-07-18,61
18,2018-07-19,59
19,2018-07-20,56
20,2018-07-21,58
21,2018-07-22,65
22,2018-07-23,64
23,2018-07-24,63
24,2018-07-25,62
25,2018-07-26,58
26,2018-07-27,51
27,2018-07-28,54
28,2018-07-29,56
29,2018-07-30,59
30,2018-07-31,62
31,2018-08-01,60
32,2018-08-02,59
33,2018-08-03,59
34,2018-08-04,57
35,2018-08-05,55
36,2018-08-06,61
37,2018-08-07,57
38,2018-08-08,59
39,2018-08-09,58
40,2018-08-10,56
41,2018-08-11,55
42,2018-08-12,62
43,2018-08-13,57
44,2018-08-14,56
45,2018-08-15,56
46,2018-08-16,56
47,2018-08-17,58
48,2018-08-18,54
49,2018-08-19,56
50,2018-08-20,56
51,2018-08-21,56
52,2018-08-22,56
53,2018-08-23,55
54,2018-08-24,59
55,2018-08-25,58
56,2018-08-26,59
57,2018-08-27,58
58,2018-08-28,56
59,2018-08-29,56
60,2018-08-30,54
61,2018-08-31,55
62,2018-09-01,59
63,2018-09-02,61
64,2018-09-03,60
65,2018-09-04,55
66,2018-09-05,57
67,2018-09-06,55
68,2018-09-07,55
69,2018-09-08,61
70,2018-09-09,64
71,2018-09-10,60
72,2018-09-11,54
73,2018-09-12,55
74,2018-09-13,53
75,2018-09-14,55
76,2018-09-15,62
77,2018-09-16,64
78,2018-09-17,56
79,2018-09-18,47
80,2018-09-19,49
81,2018-09-20,49
82,2018-09-21,53
83,2018-09-22,64
84,2018-09-23,66
85,2018-09-24,57
86,2018-09-25,61
87,2018-09-26,63
88,2018-09-27,60
89,2018-09-28,60
90,2018-09-29,65
91,2018-09-30,64
92,2018-10-01,61
93,2018-10-02,72
94,2018-10-03,73
95,2018-10-04,61
96,2018-10-05,62
97,2018-10-06,72
98,2018-10-07,64
99,2018-10-08,65
100,2018-10-09,62
101,2018-10-10,67
102,2018-10-11,63
103,2018-10-12,66
104,2018-10-13,72
105,2018-10-14,76
106,2018-10-15,70
107,2018-10-16,66
108,2018-10-17,64
109,2018-10-18,64
110,2018-10-19,62
111,2018-10-20,72
112,2018-10-21,71
113,2018-10-22,68
114,2018-10-23,63
115,2018-10-24,64
