date,pottermore,searches
2016-01-01,10,5.743676880421526
2016-01-02,11,11.28764355691398
2016-01-03,10,9.034139453876033
2016-01-04,8,2.337842351314763
2016-01-05,8,1.2141736319024954
2016-01-06,8,6.762221846678681
2016-01-07,7,6.102656685447871
2016-01-08,7,4.97926921008902
2016-01-09,10,3.3552191255427233
2016-01-10,10,-2.4241180229971926
2016-01-11,6,4.397314452069194
2016-01-12,7,1.3657621789546905
2016-01-13,7,0.11762353880085374
2016-01-14,10,0.8053285314110878
2016-01-15,10,12.44354533249918
2016-01-16,11,6.800463906884058
2016-01-17,10,5.025717270368835
2016-01-18,8,4.2353031565208
2016-01-19,8,0.33149829985244406
2016-01-20,8,-3.5218693894667306
2016-01-21,8,6.506361709954948
2016-01-22,9,7.538575905553253
2016-01-23,9,3.3736251682204026
2016-01-24,10,-1.2391324268895856
2016-01-25,8,-0.7689748372263372
2016-01-26,7,4.3004713518259114
2016-01-27,7,2.994327372672661
2016-01-28,44,-12.59958462748229
2016-01-29,43,-2.2434929232414937
2016-01-30,100,6.576337495478652
2016-01-31,85,-1.7877289792183655
2016-02-01,51,7.361102660796672
2016-02-02,37,7.173473667074884
2016-02-03,26,4.493315785009027
2016-02-04,23,9.3092105689859
2016-02-05,21,3.7342094322012804
2016-02-06,21,7.622760457425797
2016-02-07,19,3.295372710723065
2016-02-08,15,7.269860757038988
2016-02-09,14,6.461636490474216
2016-02-10,20,7.195381735660295
2016-02-11,23,0.15440804092406069
2016-02-12,17,3.888864929949352
2016-02-13,17,5.179384295801375
2016-02-14,15,8.208794797590574
2016-02-15,12,5.488201916376337
2016-02-16,12,2.5516583259257586
2016-02-17,12,5.917940526277036
2016-02-18,11,8.257856807862208
2016-02-19,12,11.45173299585286
2016-02-20,15,6.370206745953184
2016-02-21,14,-1.3673816470156712
2016-02-22,11,-0.24088631453053022
2016-02-23,11,4.020856009132963
2016-02-24,10,3.359927176209022
2016-02-25,9,2.223283233294619
2016-02-26,10,6.820616295500562
2016-02-27,10,7.26742889019211
2016-02-28,12,-0.8416627954142459
2016-02-29,8,6.203702412711534
2016-03-01,9,7.538575905553253
2016-03-02,10,-1.9760707368713017
2016-03-03,9,6.644726221464101
2016-03-04,10,5.419399276963453
2016-03-05,12,13.16714013607586
2016-03-06,13,10.410414345764016
2016-03-07,17,8.740754747790028
2016-03-08,28,13.229908279053948
2016-03-09,27,7.2691528922799575
2016-03-10,20,8.732467415416098
2016-03-11,17,4.228937166059563
2016-03-12,17,4.3570096748361875
2016-03-13,16,11.104109594117627
2016-03-14,11,5.64918398095914
2016-03-15,11,6.467382018952368
2016-03-16,10,1.1016884889410798
2016-03-17,8,6.617256033979705
2016-03-18,10,8.396365797447933
2016-03-19,11,5.955639621163206
2016-03-20,11,4.7114520777878255
2016-03-21,9,11.309791732453803
2016-03-22,11,4.67959157937327
2016-03-23,11,1.9580965800301273
2016-03-24,10,4.75629425709554
2016-03-25,12,8.615515320632289
2016-03-26,12,5.743676880421526
2016-03-27,14,5.274235257011481
2016-03-28,12,3.9793020430267028
2016-03-29,11,-1.2257462276697044
2016-03-30,11,0.11200914921799665
2016-03-31,10,7.283702705231727
2016-04-01,11,5.194378340559611
2016-04-02,12,8.3210899810919
2016-04-03,11,5.818653822371296
2016-04-04,9,5.601044604162002
2016-04-05,11,5.16818969904668
2016-04-06,11,25.846545961896865
2016-04-07,10,35.89798050263454
2016-04-08,13,25.51666578277406
2016-04-09,13,24.978112517502243
2016-04-10,13,18.294154906793608
2016-04-11,13,17.979325699402427
2016-04-12,12,16.513071031211886
2016-04-13,10,12.411425067592257
2016-04-14,10,7.720100077080998
2016-04-15,11,9.836866117649151
2016-04-16,13,8.23638312698944
2016-04-17,11,4.903599411222485
2016-04-18,9,8.615515320632289
2016-04-19,9,9.333474930684979
2016-04-20,9,-5.495674020781951
2016-04-21,9,4.904966458910662
2016-04-22,9,2.841233538278935
2016-04-23,9,8.615515320632289
2016-04-24,11,6.872842513885241
2016-04-25,9,3.0508334441606735
2016-04-26,9,2.5322583857867764
2016-04-27,8,8.385568820597033
2016-04-28,9,9.496212193758629
2016-04-29,8,5.068103964172092
2016-04-30,11,10.809486222440194
2016-05-01,12,12.420221052917647
2016-05-02,10,-7.90143774269505
2016-05-03,8,8.552926542260668
2016-05-04,8,6.231689990438962
2016-05-05,9,5.040267083320604
2016-05-06,9,8.017318698629847
2016-05-07,10,5.743676880421526
2016-05-08,9,11.219852339998688
2016-05-09,9,7.965817338729268
2016-05-10,8,6.461636490474216
2016-05-11,10,1.158250602461817
2016-05-12,10,8.256535515605943
2016-05-13,10,3.320375036990159
2016-05-14,12,10.097017444832652
2016-05-15,12,2.959017354019026
2016-05-16,9,7.195397131075881
2016-05-17,8,1.4044796344589656
2016-05-18,8,6.093583416154182
2016-05-19,9,3.8140896560812534
2016-05-20,10,9.010059526543783
2016-05-21,13,7.038032890447063
2016-05-22,16,-5.3097478662759166
2016-05-23,13,5.419399276963453
2016-05-24,11,5.702509872924374
2016-05-25,10,-0.3142096749907397
2016-05-26,10,7.179596100526907
2016-05-27,10,2.0538695250896977
2016-05-28,11,2.51426838212035
2016-05-29,12,2.407246754451309
2016-05-30,11,6.102656685447871
2016-05-31,13,7.792252236054167
2016-06-01,14,4.347121310465216
2016-06-02,18,5.38469707539518
2016-06-03,20,3.4897887451950798
2016-06-04,25,6.008832907926621
2016-06-05,21,7.538575905553253
2016-06-06,16,1.3657621789546905
2016-06-07,13,-4.246451178984535
2016-06-08,13,8.96524993364643
