Day,wizarding world: (Worldwide)
2016-01-01,19
2016-01-02,20
2016-01-03,16
2016-01-04,13
2016-01-05,14
2016-01-06,14
2016-01-07,16
2016-01-08,15
2016-01-09,16
2016-01-10,13
2016-01-11,13
2016-01-12,13
2016-01-13,12
2016-01-14,12
2016-01-15,22
2016-01-16,22
2016-01-17,16
2016-01-18,16
2016-01-19,17
2016-01-20,13
2016-01-21,14
2016-01-22,20
2016-01-23,12
2016-01-24,18
2016-01-25,13
2016-01-26,8
2016-01-27,14
2016-01-28,10
2016-01-29,6
2016-01-30,20
2016-01-31,24
2016-02-01,18
2016-02-02,10
2016-02-03,9
2016-02-04,14
2016-02-05,15
2016-02-06,14
2016-02-07,14
2016-02-08,13
2016-02-09,17
2016-02-10,20
2016-02-11,22
2016-02-12,17
2016-02-13,13
2016-02-14,18
2016-02-15,19
2016-02-16,17
2016-02-17,18
2016-02-18,14
2016-02-19,15
2016-02-20,23
2016-02-21,22
2016-02-22,21
2016-02-23,15
2016-02-24,16
2016-02-25,13
2016-02-26,17
2016-02-27,15
2016-02-28,22
2016-02-29,18
2016-03-01,19
2016-03-02,17
2016-03-03,12
2016-03-04,18
2016-03-05,27
2016-03-06,27
2016-03-07,28
2016-03-08,22
2016-03-09,20
2016-03-10,21
2016-03-11,15
2016-03-12,24
2016-03-13,19
2016-03-14,16
2016-03-15,16
2016-03-16,17
2016-03-17,13
2016-03-18,14
2016-03-19,17
2016-03-20,19
2016-03-21,17
2016-03-22,19
2016-03-23,22
2016-03-24,15
2016-03-25,24
2016-03-26,18
2016-03-27,31
2016-03-28,24
2016-03-29,27
2016-03-30,30
2016-03-31,26
2016-04-01,26
2016-04-02,22
2016-04-03,21
2016-04-04,24
2016-04-05,25
2016-04-06,66
2016-04-07,100
2016-04-08,72
2016-04-09,69
2016-04-10,57
2016-04-11,51
2016-04-12,41
2016-04-13,35
2016-04-14,25
2016-04-15,27
2016-04-16,25
2016-04-17,26
2016-04-18,21
2016-04-19,24
2016-04-20,19
2016-04-21,18
2016-04-22,17
2016-04-23,14
2016-04-24,13
2016-04-25,16
2016-04-26,13
2016-04-27,14
2016-04-28,17
2016-04-29,17
2016-04-30,15
2016-05-01,24
2016-05-02,22
2016-05-03,12
2016-05-04,11
2016-05-05,16
2016-05-06,17
2016-05-07,14
2016-05-08,22
2016-05-09,16
2016-05-10,18
2016-05-11,17
2016-05-12,17
2016-05-13,13
2016-05-14,13
2016-05-15,23
2016-05-16,18
2016-05-17,13
2016-05-18,12
2016-05-19,13
2016-05-20,21
2016-05-21,19
2016-05-22,13
2016-05-23,18
2016-05-24,18
2016-05-25,18
2016-05-26,20
2016-05-27,13
2016-05-28,20
2016-05-29,14
2016-05-30,19
2016-05-31,18
2016-06-01,12
2016-06-02,15
2016-06-03,16
2016-06-04,21
2016-06-05,20
2016-06-06,16
2016-06-07,13
2016-06-08,21
2016-06-09,14
2016-06-10,16
2016-06-11,16
2016-06-12,21
2016-06-13,20
2016-06-14,17
2016-06-15,14
2016-06-16,19
2016-06-17,15
2016-06-18,12
2016-06-19,19
2016-06-20,10
2016-06-21,14
2016-06-22,13
2016-06-23,12
2016-06-24,18
2016-06-25,12
2016-06-26,17
2016-06-27,10
2016-06-28,15
2016-06-29,19
2016-06-30,18
