Day,wizarding world: (Worldwide)
2018-07-01,27
2018-07-02,25
2018-07-03,21
2018-07-04,27
2018-07-05,28
2018-07-06,20
2018-07-07,18
2018-07-08,29
2018-07-09,22
2018-07-10,19
2018-07-11,26
2018-07-12,17
2018-07-13,32
2018-07-14,34
2018-07-15,53
2018-07-16,37
2018-07-17,34
2018-07-18,24
2018-07-19,38
2018-07-20,28
2018-07-21,13
2018-07-22,44
2018-07-23,47
2018-07-24,33
2018-07-25,21
2018-07-26,36
2018-07-27,37
2018-07-28,31
2018-07-29,41
2018-07-30,40
2018-07-31,42
2018-08-01,42
2018-08-02,41
2018-08-03,46
2018-08-04,34
2018-08-05,41
2018-08-06,31
2018-08-07,30
2018-08-08,30
2018-08-09,33
2018-08-10,37
2018-08-11,31
2018-08-12,42
2018-08-13,27
2018-08-14,36
2018-08-15,30
2018-08-16,27
2018-08-17,26
2018-08-18,18
2018-08-19,32
2018-08-20,27
2018-08-21,27
2018-08-22,34
2018-08-23,28
2018-08-24,36
2018-08-25,38
2018-08-26,32
2018-08-27,31
2018-08-28,32
2018-08-29,26
2018-08-30,27
2018-08-31,16
2018-09-01,35
2018-09-02,48
2018-09-03,37
2018-09-04,27
2018-09-05,23
2018-09-06,28
2018-09-07,30
2018-09-08,27
2018-09-09,31
2018-09-10,24
2018-09-11,33
2018-09-12,20
2018-09-13,28
2018-09-14,16
2018-09-15,37
2018-09-16,36
2018-09-17,26
2018-09-18,27
2018-09-19,27
2018-09-20,34
2018-09-21,22
2018-09-22,33
2018-09-23,38
2018-09-24,21
2018-09-25,38
2018-09-26,33
2018-09-27,31
2018-09-28,41
2018-09-29,26
2018-09-30,33
2018-10-01,29
2018-10-02,38
2018-10-03,31
2018-10-04,23
2018-10-05,28
2018-10-06,31
2018-10-07,45
2018-10-08,34
2018-10-09,22
2018-10-10,23
2018-10-11,20
2018-10-12,34
2018-10-13,24
2018-10-14,32
2018-10-15,26
2018-10-16,36
2018-10-17,25
2018-10-18,30
2018-10-19,30
2018-10-20,30
2018-10-21,33
2018-10-22,31
2018-10-23,25
2018-10-24,24
2018-10-25,18
2018-10-26,36
2018-10-27,23
2018-10-28,24
2018-10-29,31
2018-10-30,25
2018-10-31,31
2018-11-01,31
2018-11-02,36
2018-11-03,27
2018-11-04,47
2018-11-05,35
2018-11-06,29
2018-11-07,30
2018-11-08,29
2018-11-09,34
2018-11-10,61
2018-11-11,57
2018-11-12,37
2018-11-13,40
2018-11-14,50
2018-11-15,50
2018-11-16,81
2018-11-17,95
2018-11-18,100
2018-11-19,70
2018-11-20,71
2018-11-21,49
2018-11-22,47
2018-11-23,68
2018-11-24,71
2018-11-25,57
2018-11-26,70
2018-11-27,54
2018-11-28,46
2018-11-29,30
2018-11-30,35
2018-12-01,46
2018-12-02,52
2018-12-03,43
2018-12-04,34
2018-12-05,42
2018-12-06,39
2018-12-07,42
2018-12-08,43
2018-12-09,44
2018-12-10,33
2018-12-11,36
2018-12-12,37
2018-12-13,32
2018-12-14,40
2018-12-15,44
2018-12-16,57
2018-12-17,41
2018-12-18,40
2018-12-19,40
2018-12-20,40
2018-12-21,43
2018-12-22,33
2018-12-23,49
2018-12-24,58
2018-12-25,34
2018-12-26,45
2018-12-27,46
2018-12-28,43
2018-12-29,46
2018-12-30,46
2018-12-31,37
