Day,wizarding world: (Worldwide)
2016-07-01,48
2016-07-02,36
2016-07-03,66
2016-07-04,48
2016-07-05,47
2016-07-06,61
2016-07-07,44
2016-07-08,44
2016-07-09,51
2016-07-10,40
2016-07-11,62
2016-07-12,36
2016-07-13,46
2016-07-14,33
2016-07-15,29
2016-07-16,46
2016-07-17,49
2016-07-18,44
2016-07-19,43
2016-07-20,55
2016-07-21,45
2016-07-22,36
2016-07-23,49
2016-07-24,45
2016-07-25,45
2016-07-26,37
2016-07-27,43
2016-07-28,49
2016-07-29,40
2016-07-30,62
2016-07-31,82
2016-08-01,85
2016-08-02,60
2016-08-03,49
2016-08-04,54
2016-08-05,46
2016-08-06,58
2016-08-07,73
2016-08-08,49
2016-08-09,51
2016-08-10,47
2016-08-11,52
2016-08-12,27
2016-08-13,39
2016-08-14,45
2016-08-15,44
2016-08-16,29
2016-08-17,38
2016-08-18,48
2016-08-19,47
2016-08-20,17
2016-08-21,53
2016-08-22,28
2016-08-23,29
2016-08-24,44
2016-08-25,40
2016-08-26,34
2016-08-27,36
2016-08-28,35
2016-08-29,35
2016-08-30,16
2016-08-31,33
2016-09-01,25
2016-09-02,31
2016-09-03,54
2016-09-04,57
2016-09-05,42
2016-09-06,42
2016-09-07,37
2016-09-08,27
2016-09-09,28
2016-09-10,29
2016-09-11,37
2016-09-12,39
2016-09-13,32
2016-09-14,29
2016-09-15,32
2016-09-16,38
2016-09-17,42
2016-09-18,49
2016-09-19,25
2016-09-20,37
2016-09-21,31
2016-09-22,32
2016-09-23,44
2016-09-24,40
2016-09-25,56
2016-09-26,33
2016-09-27,21
2016-09-28,31
2016-09-29,39
2016-09-30,22
2016-10-01,40
2016-10-02,64
2016-10-03,30
2016-10-04,38
2016-10-05,33
2016-10-06,42
2016-10-07,51
2016-10-08,48
2016-10-09,33
2016-10-10,31
2016-10-11,39
2016-10-12,45
2016-10-13,45
2016-10-14,35
2016-10-15,59
2016-10-16,62
2016-10-17,41
2016-10-18,27
2016-10-19,50
2016-10-20,37
2016-10-21,49
2016-10-22,58
2016-10-23,49
2016-10-24,42
2016-10-25,43
2016-10-26,44
2016-10-27,42
2016-10-28,41
2016-10-29,37
2016-10-30,54
2016-10-31,42
2016-11-01,30
2016-11-02,34
2016-11-03,32
2016-11-04,32
2016-11-05,34
2016-11-06,42
2016-11-07,47
2016-11-08,41
2016-11-09,29
2016-11-10,26
2016-11-11,35
2016-11-12,48
2016-11-13,46
2016-11-14,43
2016-11-15,53
2016-11-16,57
2016-11-17,53
2016-11-18,46
2016-11-19,76
2016-11-20,100
2016-11-21,66
2016-11-22,74
2016-11-23,58
2016-11-24,47
2016-11-25,64
2016-11-26,59
2016-11-27,51
2016-11-28,56
2016-11-29,54
2016-11-30,59
2016-12-01,55
2016-12-02,72
2016-12-03,81
2016-12-04,72
2016-12-05,47
2016-12-06,56
2016-12-07,42
2016-12-08,50
2016-12-09,37
2016-12-10,44
2016-12-11,62
2016-12-12,58
2016-12-13,61
2016-12-14,48
2016-12-15,38
2016-12-16,64
2016-12-17,73
2016-12-18,66
2016-12-19,63
2016-12-20,58
2016-12-21,51
2016-12-22,62
2016-12-23,45
2016-12-24,48
2016-12-25,52
2016-12-26,76
2016-12-27,78
2016-12-28,70
2016-12-29,67
2016-12-30,77
2016-12-31,64
