Day,wizarding world: (Worldwide)
2017-07-01,62
2017-07-02,87
2017-07-03,95
2017-07-04,48
2017-07-05,84
2017-07-06,33
2017-07-07,80
2017-07-08,90
2017-07-09,82
2017-07-10,69
2017-07-11,62
2017-07-12,61
2017-07-13,83
2017-07-14,99
2017-07-15,86
2017-07-16,75
2017-07-17,50
2017-07-18,79
2017-07-19,51
2017-07-20,62
2017-07-21,63
2017-07-22,80
2017-07-23,88
2017-07-24,61
2017-07-25,73
2017-07-26,72
2017-07-27,100
2017-07-28,63
2017-07-29,83
2017-07-30,91
2017-07-31,87
2017-08-01,83
2017-08-02,72
2017-08-03,72
2017-08-04,56
2017-08-05,32
2017-08-06,92
2017-08-07,52
2017-08-08,76
2017-08-09,65
2017-08-10,62
2017-08-11,48
2017-08-12,70
2017-08-13,74
2017-08-14,57
2017-08-15,61
2017-08-16,50
2017-08-17,47
2017-08-18,48
2017-08-19,87
2017-08-20,57
2017-08-21,59
2017-08-22,62
2017-08-23,68
2017-08-24,57
2017-08-25,69
2017-08-26,41
2017-08-27,70
2017-08-28,51
2017-08-29,55
2017-08-30,47
2017-08-31,68
2017-09-01,48
2017-09-02,74
2017-09-03,82
2017-09-04,75
2017-09-05,32
2017-09-06,73
2017-09-07,55
2017-09-08,42
2017-09-09,68
2017-09-10,42
2017-09-11,69
2017-09-12,66
2017-09-13,46
2017-09-14,38
2017-09-15,63
2017-09-16,42
2017-09-17,66
2017-09-18,36
2017-09-19,54
2017-09-20,42
2017-09-21,43
2017-09-22,76
2017-09-23,44
2017-09-24,67
2017-09-25,47
2017-09-26,58
2017-09-27,52
2017-09-28,63
2017-09-29,55
2017-09-30,55
2017-10-01,44
2017-10-02,42
2017-10-03,69
2017-10-04,42
2017-10-05,54
2017-10-06,41
2017-10-07,67
2017-10-08,53
2017-10-09,49
2017-10-10,44
2017-10-11,54
2017-10-12,45
2017-10-13,71
2017-10-14,56
2017-10-15,69
2017-10-16,45
2017-10-17,52
2017-10-18,52
2017-10-19,61
2017-10-20,58
2017-10-21,48
2017-10-22,52
2017-10-23,70
2017-10-24,45
2017-10-25,52
2017-10-26,66
2017-10-27,39
2017-10-28,45
2017-10-29,96
2017-10-30,54
2017-10-31,50
2017-11-01,48
2017-11-02,52
2017-11-03,47
2017-11-04,72
2017-11-05,78
2017-11-06,52
2017-11-07,42
2017-11-08,76
2017-11-09,62
2017-11-10,52
2017-11-11,76
2017-11-12,93
2017-11-13,63
2017-11-14,60
2017-11-15,79
2017-11-16,51
2017-11-17,84
2017-11-18,71
2017-11-19,78
2017-11-20,86
2017-11-21,51
2017-11-22,55
2017-11-23,66
2017-11-24,81
2017-11-25,70
2017-11-26,58
2017-11-27,78
2017-11-28,51
2017-11-29,33
2017-11-30,51
2017-12-01,68
2017-12-02,70
2017-12-03,64
2017-12-04,70
2017-12-05,54
2017-12-06,60
2017-12-07,73
2017-12-08,96
2017-12-09,60
2017-12-10,69
2017-12-11,44
2017-12-12,57
2017-12-13,58
2017-12-14,13
2017-12-15,64
2017-12-16,65
2017-12-17,76
2017-12-18,81
2017-12-19,66
2017-12-20,59
2017-12-21,53
2017-12-22,40
2017-12-23,90
2017-12-24,73
2017-12-25,93
2017-12-26,87
2017-12-27,90
2017-12-28,94
2017-12-29,78
2017-12-30,80
2017-12-31,74
