Day,wizarding world: (Worldwide)
2017-01-01,76
2017-01-02,85
2017-01-03,88
2017-01-04,100
2017-01-05,61
2017-01-06,67
2017-01-07,80
2017-01-08,89
2017-01-09,57
2017-01-10,55
2017-01-11,44
2017-01-12,45
2017-01-13,49
2017-01-14,60
2017-01-15,77
2017-01-16,55
2017-01-17,57
2017-01-18,49
2017-01-19,67
2017-01-20,62
2017-01-21,57
2017-01-22,85
2017-01-23,68
2017-01-24,59
2017-01-25,66
2017-01-26,55
2017-01-27,70
2017-01-28,78
2017-01-29,80
2017-01-30,50
2017-01-31,46
2017-02-01,46
2017-02-02,30
2017-02-03,41
2017-02-04,61
2017-02-05,76
2017-02-06,39
2017-02-07,44
2017-02-08,57
2017-02-09,50
2017-02-10,49
2017-02-11,43
2017-02-12,56
2017-02-13,44
2017-02-14,40
2017-02-15,39
2017-02-16,54
2017-02-17,42
2017-02-18,52
2017-02-19,65
2017-02-20,38
2017-02-21,44
2017-02-22,55
2017-02-23,58
2017-02-24,60
2017-02-25,48
2017-02-26,58
2017-02-27,40
2017-02-28,39
2017-03-01,58
2017-03-02,43
2017-03-03,40
2017-03-04,53
2017-03-05,86
2017-03-06,55
2017-03-07,36
2017-03-08,39
2017-03-09,39
2017-03-10,47
2017-03-11,56
2017-03-12,55
2017-03-13,71
2017-03-14,60
2017-03-15,68
2017-03-16,54
2017-03-17,36
2017-03-18,62
2017-03-19,72
2017-03-20,49
2017-03-21,70
2017-03-22,49
2017-03-23,39
2017-03-24,44
2017-03-25,53
2017-03-26,63
2017-03-27,30
2017-03-28,51
2017-03-29,50
2017-03-30,39
2017-03-31,49
2017-04-01,63
2017-04-02,57
2017-04-03,43
2017-04-04,47
2017-04-05,53
2017-04-06,41
2017-04-07,48
2017-04-08,43
2017-04-09,58
2017-04-10,32
2017-04-11,42
2017-04-12,58
2017-04-13,33
2017-04-14,61
2017-04-15,68
2017-04-16,55
2017-04-17,39
2017-04-18,47
2017-04-19,32
2017-04-20,50
2017-04-21,36
2017-04-22,34
2017-04-23,43
2017-04-24,57
2017-04-25,39
2017-04-26,35
2017-04-27,54
2017-04-28,43
2017-04-29,53
2017-04-30,54
2017-05-01,62
2017-05-02,39
2017-05-03,34
2017-05-04,38
2017-05-05,52
2017-05-06,37
2017-05-07,52
2017-05-08,48
2017-05-09,55
2017-05-10,80
2017-05-11,32
2017-05-12,32
2017-05-13,49
2017-05-14,55
2017-05-15,52
2017-05-16,50
2017-05-17,37
2017-05-18,45
2017-05-19,30
2017-05-20,47
2017-05-21,68
2017-05-22,34
2017-05-23,49
2017-05-24,37
2017-05-25,57
2017-05-26,39
2017-05-27,43
2017-05-28,65
2017-05-29,52
2017-05-30,43
2017-05-31,55
2017-06-01,29
2017-06-02,58
2017-06-03,50
2017-06-04,54
2017-06-05,37
2017-06-06,48
2017-06-07,54
2017-06-08,40
2017-06-09,49
2017-06-10,48
2017-06-11,39
2017-06-12,44
2017-06-13,50
2017-06-14,58
2017-06-15,48
2017-06-16,34
2017-06-17,49
2017-06-18,43
2017-06-19,43
2017-06-20,51
2017-06-21,41
2017-06-22,55
2017-06-23,57
2017-06-24,70
2017-06-25,83
2017-06-26,91
2017-06-27,58
2017-06-28,52
2017-06-29,59
2017-06-30,46
