Day,wizarding world: (Worldwide)
2015-07-01,23
2015-07-02,23
2015-07-03,23
2015-07-04,29
2015-07-05,38
2015-07-06,40
2015-07-07,31
2015-07-08,42
2015-07-09,45
2015-07-10,22
2015-07-11,18
2015-07-12,27
2015-07-13,29
2015-07-14,27
2015-07-15,33
2015-07-16,26
2015-07-17,23
2015-07-18,42
2015-07-19,32
2015-07-20,38
2015-07-21,29
2015-07-22,22
2015-07-23,35
2015-07-24,31
2015-07-25,45
2015-07-26,48
2015-07-27,32
2015-07-28,43
2015-07-29,29
2015-07-30,28
2015-07-31,32
2015-08-01,35
2015-08-02,42
2015-08-03,33
2015-08-04,28
2015-08-05,33
2015-08-06,24
2015-08-07,33
2015-08-08,37
2015-08-09,30
2015-08-10,27
2015-08-11,24
2015-08-12,30
2015-08-13,33
2015-08-14,26
2015-08-15,29
2015-08-16,33
2015-08-17,40
2015-08-18,25
2015-08-19,19
2015-08-20,29
2015-08-21,27
2015-08-22,14
2015-08-23,33
2015-08-24,28
2015-08-25,21
2015-08-26,18
2015-08-27,27
2015-08-28,21
2015-08-29,14
2015-08-30,24
2015-08-31,32
2015-09-01,37
2015-09-02,21
2015-09-03,13
2015-09-04,31
2015-09-05,27
2015-09-06,33
2015-09-07,19
2015-09-08,19
2015-09-09,31
2015-09-10,19
2015-09-11,23
2015-09-12,24
2015-09-13,29
2015-09-14,26
2015-09-15,21
2015-09-16,27
2015-09-17,10
2015-09-18,32
2015-09-19,38
2015-09-20,47
2015-09-21,37
2015-09-22,27
2015-09-23,20
2015-09-24,29
2015-09-25,17
2015-09-26,28
2015-09-27,35
2015-09-28,15
2015-09-29,35
2015-09-30,23
2015-10-01,20
2015-10-02,27
2015-10-03,20
2015-10-04,32
2015-10-05,28
2015-10-06,15
2015-10-07,19
2015-10-08,30
2015-10-09,20
2015-10-10,14
2015-10-11,33
2015-10-12,16
2015-10-13,15
2015-10-14,22
2015-10-15,16
2015-10-16,17
2015-10-17,27
2015-10-18,28
2015-10-19,21
2015-10-20,20
2015-10-21,21
2015-10-22,29
2015-10-23,18
2015-10-24,25
2015-10-25,34
2015-10-26,17
2015-10-27,29
2015-10-28,43
2015-10-29,25
2015-10-30,16
2015-10-31,17
2015-11-01,37
2015-11-02,22
2015-11-03,25
2015-11-04,50
2015-11-05,32
2015-11-06,8
2015-11-07,17
2015-11-08,32
2015-11-09,25
2015-11-10,17
2015-11-11,32
2015-11-12,20
2015-11-13,26
2015-11-14,30
2015-11-15,33
2015-11-16,35
2015-11-17,0
2015-11-18,24
2015-11-19,25
2015-11-20,31
2015-11-21,36
2015-11-22,29
2015-11-23,31
2015-11-24,24
2015-11-25,18
2015-11-26,27
2015-11-27,22
2015-11-28,10
2015-11-29,22
2015-11-30,38
2015-12-01,30
2015-12-02,29
2015-12-03,30
2015-12-04,18
2015-12-05,25
2015-12-06,13
2015-12-07,30
2015-12-08,71
2015-12-09,100
2015-12-10,64
2015-12-11,39
2015-12-12,26
2015-12-13,39
2015-12-14,18
2015-12-15,35
2015-12-16,26
2015-12-17,27
2015-12-18,17
2015-12-19,26
2015-12-20,26
2015-12-21,30
2015-12-22,31
2015-12-23,24
2015-12-24,19
2015-12-25,51
2015-12-26,57
2015-12-27,51
2015-12-28,53
2015-12-29,45
2015-12-30,60
2015-12-31,21
