Day,harry potter: (Worldwide)
2019-01-01,94
2019-01-02,99
2019-01-03,93
2019-01-04,97
2019-01-05,98
2019-01-06,98
2019-01-07,87
2019-01-08,85
2019-01-09,88
2019-01-10,84
2019-01-11,86
2019-01-12,99
2019-01-13,100
2019-01-14,90
2019-01-15,88
2019-01-16,87
2019-01-17,81
2019-01-18,86
2019-01-19,99
2019-01-20,96
2019-01-21,86
2019-01-22,83
2019-01-23,84
2019-01-24,80
2019-01-25,80
2019-01-26,91
2019-01-27,90
2019-01-28,83
2019-01-29,84
2019-01-30,83
2019-01-31,80
2019-02-01,79
2019-02-02,89
2019-02-03,84
2019-02-04,74
2019-02-05,74
2019-02-06,72
2019-02-07,73
2019-02-08,76
2019-02-09,85
2019-02-10,85
2019-02-11,74
2019-02-12,73
2019-02-13,71
2019-02-14,67
2019-02-15,72
2019-02-16,79
2019-02-17,79
2019-02-18,81
2019-02-19,69
2019-02-20,71
2019-02-21,71
2019-02-22,74
2019-02-23,76
2019-02-24,77
2019-02-25,71
2019-02-26,63
2019-02-27,67
2019-02-28,66
2019-03-01,66
2019-03-02,78
2019-03-03,77
2019-03-04,74
2019-03-05,71
2019-03-06,69
2019-03-07,70
2019-03-08,78
2019-03-09,82
2019-03-10,79
2019-03-11,73
2019-03-12,69
2019-03-13,70
2019-03-14,73
2019-03-15,75
2019-03-16,79
2019-03-17,76
2019-03-18,71
2019-03-19,70
2019-03-20,69
2019-03-21,64
2019-03-22,70
2019-03-23,71
2019-03-24,63
2019-03-25,58
2019-03-26,70
2019-03-27,70
2019-03-28,72
2019-03-29,69
2019-03-30,78
2019-03-31,80
2019-04-01,67
2019-04-02,69
2019-04-03,71
2019-04-04,70
2019-04-05,73
2019-04-06,77
2019-04-07,79
2019-04-08,71
2019-04-09,70
2019-04-10,73
2019-04-11,72
2019-04-12,73
2019-04-13,82
2019-04-14,80
2019-04-15,81
2019-04-16,72
2019-04-17,74
2019-04-18,76
2019-04-19,79
2019-04-20,81
2019-04-21,80
2019-04-22,81
2019-04-23,77
2019-04-24,73
2019-04-25,71
2019-04-26,72
2019-04-27,79
2019-04-28,74
2019-04-29,65
2019-04-30,64
2019-05-01,70
2019-05-02,67
2019-05-03,70
2019-05-04,75
2019-05-05,73
2019-05-06,66
2019-05-07,65
2019-05-08,65
2019-05-09,62
2019-05-10,68
2019-05-11,72
2019-05-12,75
2019-05-13,64
2019-05-14,63
2019-05-15,64
2019-05-16,60
2019-05-17,67
2019-05-18,77
2019-05-19,72
2019-05-20,63
2019-05-21,64
2019-05-22,63
2019-05-23,58
2019-05-24,63
2019-05-25,68
2019-05-26,71
2019-05-27,67
2019-05-28,65
2019-05-29,67
2019-05-30,67
2019-05-31,67
2019-06-01,66
2019-06-02,66
2019-06-03,54
2019-06-04,77
2019-06-05,64
2019-06-06,66
2019-06-07,69
2019-06-08,69
2019-06-09,75
2019-06-10,74
2019-06-11,69
2019-06-12,70
2019-06-13,69
2019-06-14,71
2019-06-15,71
2019-06-16,73
2019-06-17,69
2019-06-18,68
2019-06-19,73
2019-06-20,85
2019-06-21,84
2019-06-22,85
2019-06-23,92
2019-06-24,86
2019-06-25,85
2019-06-26,82
2019-06-27,76
2019-06-28,73
2019-06-29,75
2019-06-30,75
