Day,harry potter: (Worldwide)
2017-01-01,94
2017-01-02,100
2017-01-03,85
2017-01-04,87
2017-01-05,87
2017-01-06,86
2017-01-07,91
2017-01-08,99
2017-01-09,92
2017-01-10,90
2017-01-11,88
2017-01-12,87
2017-01-13,87
2017-01-14,98
2017-01-15,93
2017-01-16,90
2017-01-17,83
2017-01-18,83
2017-01-19,76
2017-01-20,76
2017-01-21,81
2017-01-22,92
2017-01-23,81
2017-01-24,75
2017-01-25,67
2017-01-26,71
2017-01-27,78
2017-01-28,98
2017-01-29,90
2017-01-30,80
2017-01-31,66
2017-02-01,72
2017-02-02,69
2017-02-03,69
2017-02-04,83
2017-02-05,84
2017-02-06,77
2017-02-07,64
2017-02-08,68
2017-02-09,65
2017-02-10,68
2017-02-11,81
2017-02-12,75
2017-02-13,70
2017-02-14,64
2017-02-15,69
2017-02-16,67
2017-02-17,74
2017-02-18,79
2017-02-19,82
2017-02-20,66
2017-02-21,71
2017-02-22,66
2017-02-23,65
2017-02-24,73
2017-02-25,78
2017-02-26,77
2017-02-27,65
2017-02-28,66
2017-03-01,71
2017-03-02,80
2017-03-03,76
2017-03-04,81
2017-03-05,77
2017-03-06,68
2017-03-07,72
2017-03-08,70
2017-03-09,65
2017-03-10,67
2017-03-11,77
2017-03-12,74
2017-03-13,66
2017-03-14,69
2017-03-15,72
2017-03-16,62
2017-03-17,69
2017-03-18,76
2017-03-19,80
2017-03-20,66
2017-03-21,69
2017-03-22,78
2017-03-23,70
2017-03-24,65
2017-03-25,64
2017-03-26,79
2017-03-27,65
2017-03-28,65
2017-03-29,62
2017-03-30,64
2017-03-31,64
2017-04-01,73
2017-04-02,66
2017-04-03,58
2017-04-04,62
2017-04-05,62
2017-04-06,58
2017-04-07,65
2017-04-08,68
2017-04-09,69
2017-04-10,64
2017-04-11,63
2017-04-12,65
2017-04-13,65
2017-04-14,66
2017-04-15,69
2017-04-16,69
2017-04-17,66
2017-04-18,68
2017-04-19,63
2017-04-20,59
2017-04-21,61
2017-04-22,65
2017-04-23,67
2017-04-24,62
2017-04-25,61
2017-04-26,64
2017-04-27,67
2017-04-28,67
2017-04-29,68
2017-04-30,71
2017-05-01,73
2017-05-02,64
2017-05-03,61
2017-05-04,59
2017-05-05,64
2017-05-06,66
2017-05-07,74
2017-05-08,65
2017-05-09,63
2017-05-10,59
2017-05-11,64
2017-05-12,58
2017-05-13,62
2017-05-14,65
2017-05-15,58
2017-05-16,57
2017-05-17,55
2017-05-18,50
2017-05-19,59
2017-05-20,63
2017-05-21,67
2017-05-22,57
2017-05-23,58
2017-05-24,62
2017-05-25,61
2017-05-26,58
2017-05-27,66
2017-05-28,62
2017-05-29,64
2017-05-30,68
2017-05-31,63
2017-06-01,70
2017-06-02,63
2017-06-03,66
2017-06-04,82
2017-06-05,75
2017-06-06,71
2017-06-07,73
2017-06-08,65
2017-06-09,66
2017-06-10,69
2017-06-11,77
2017-06-12,61
2017-06-13,60
2017-06-14,69
2017-06-15,66
2017-06-16,64
2017-06-17,65
2017-06-18,69
2017-06-19,65
2017-06-20,63
2017-06-21,65
2017-06-22,63
2017-06-23,66
2017-06-24,71
2017-06-25,76
2017-06-26,100
2017-06-27,87
2017-06-28,84
2017-06-29,75
2017-06-30,83
