Day,harry potter: (Worldwide)
2018-07-01,51
2018-07-02,47
2018-07-03,49
2018-07-04,49
2018-07-05,46
2018-07-06,47
2018-07-07,47
2018-07-08,43
2018-07-09,49
2018-07-10,44
2018-07-11,56
2018-07-12,53
2018-07-13,54
2018-07-14,54
2018-07-15,62
2018-07-16,60
2018-07-17,63
2018-07-18,61
2018-07-19,59
2018-07-20,56
2018-07-21,58
2018-07-22,65
2018-07-23,64
2018-07-24,63
2018-07-25,62
2018-07-26,58
2018-07-27,51
2018-07-28,54
2018-07-29,56
2018-07-30,59
2018-07-31,62
2018-08-01,60
2018-08-02,59
2018-08-03,59
2018-08-04,57
2018-08-05,55
2018-08-06,61
2018-08-07,57
2018-08-08,59
2018-08-09,58
2018-08-10,56
2018-08-11,55
2018-08-12,62
2018-08-13,57
2018-08-14,56
2018-08-15,56
2018-08-16,56
2018-08-17,58
2018-08-18,54
2018-08-19,56
2018-08-20,56
2018-08-21,56
2018-08-22,56
2018-08-23,55
2018-08-24,59
2018-08-25,58
2018-08-26,59
2018-08-27,58
2018-08-28,56
2018-08-29,56
2018-08-30,54
2018-08-31,55
2018-09-01,59
2018-09-02,61
2018-09-03,60
2018-09-04,55
2018-09-05,57
2018-09-06,55
2018-09-07,55
2018-09-08,61
2018-09-09,64
2018-09-10,60
2018-09-11,54
2018-09-12,55
2018-09-13,53
2018-09-14,55
2018-09-15,62
2018-09-16,64
2018-09-17,56
2018-09-18,47
2018-09-19,49
2018-09-20,49
2018-09-21,53
2018-09-22,64
2018-09-23,66
2018-09-24,57
2018-09-25,61
2018-09-26,63
2018-09-27,60
2018-09-28,60
2018-09-29,65
2018-09-30,64
2018-10-01,61
2018-10-02,72
2018-10-03,73
2018-10-04,61
2018-10-05,62
2018-10-06,72
2018-10-07,64
2018-10-08,65
2018-10-09,62
2018-10-10,67
2018-10-11,63
2018-10-12,66
2018-10-13,72
2018-10-14,76
2018-10-15,70
2018-10-16,66
2018-10-17,64
2018-10-18,64
2018-10-19,62
2018-10-20,72
2018-10-21,71
2018-10-22,68
2018-10-23,63
2018-10-24,64
2018-10-25,66
2018-10-26,65
2018-10-27,73
2018-10-28,73
2018-10-29,70
2018-10-30,62
2018-10-31,70
2018-11-01,72
2018-11-02,70
2018-11-03,72
2018-11-04,71
2018-11-05,66
2018-11-06,63
2018-11-07,63
2018-11-08,62
2018-11-09,64
2018-11-10,73
2018-11-11,80
2018-11-12,67
2018-11-13,67
2018-11-14,74
2018-11-15,78
2018-11-16,83
2018-11-17,93
2018-11-18,100
2018-11-19,91
2018-11-20,84
2018-11-21,84
2018-11-22,86
2018-11-23,84
2018-11-24,88
2018-11-25,95
2018-11-26,80
2018-11-27,80
2018-11-28,82
2018-11-29,77
2018-11-30,79
2018-12-01,83
2018-12-02,84
2018-12-03,71
2018-12-04,71
2018-12-05,71
2018-12-06,64
2018-12-07,66
2018-12-08,72
2018-12-09,77
2018-12-10,72
2018-12-11,69
2018-12-12,67
2018-12-13,65
2018-12-14,67
2018-12-15,74
2018-12-16,71
2018-12-17,71
2018-12-18,64
2018-12-19,64
2018-12-20,63
2018-12-21,64
2018-12-22,67
2018-12-23,68
2018-12-24,70
2018-12-25,72
2018-12-26,75
2018-12-27,73
2018-12-28,73
2018-12-29,74
2018-12-30,70
2018-12-31,65
